Country,Total
United States,83
Japan,13
Romania,1
South Korea,2
United Kingdom,6
Indonesia,1
Sweden,4
Germany,2
Greece,1
Ireland,1
Trinidad and Tobago,2
Israel,2
N/A,13
India,5
Australia,3
Kuwait,1
France,2
Brazil,1
Argentina,1
United Arab Emirates,1
Malaysia,1
Hungary,1
Norway,1
Netherlands,1
Estonia,1
