Genre,Total
Animation,33
Comedy,25
Documentary,10
Drama,10
Biography,3
Action,10
Short,19
News,1
N/A,12
Mystery,1
Talk-Show,2
Horror,9
Crime,3
Adventure,4
Thriller,3
Sci-Fi,2
Family,2
Fantasy,1
