Movie Title,IMDb Rating,Article Count
Attack on Titan the Movie: The Last Attack,9.3,25
Buzz House: The Movie,3.2,25
Not Another Church Movie,2.2,25
The Garfield Movie,5.7,25
The Wrong Movie,0.0,19
The 4:30 Movie,6.0,16
Slave Play. Not a Movie. A Play.,5.3,7
The Day the Earth Blew Up: A Looney Tunes Movie,7.0,4
Doraemon the Movie: Nobita's Earth Symphony,6.6,2
Saving Bikini Bottom: The Sandy Cheeks Movie,3.7,2
